position;company;reviews;clean_position;city;state;python;statistics;mathematics;java;sql;excel;modeling;c++;r;visualization;ml;ai;has_phd;has_bachelor;has_master;;;;;
Data Engineer; Scala;CapTech Consulting;14;data engineer;Atlanta;GA;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;
Director; Financial Services - Data Scientist;KPMG;4494;data scientist;Atlanta;GA;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;TRUE;FALSE;TRUE;;;;
Regulatory Labeling; Advertising and Promotion Scientist;UCB;206;data scientist;Atlanta;GA;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;;;
Data & Analytics Developer;SunTrust;3343;other role;Atlanta;GA;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;
Product Development Scientist;The Coca-Cola Company;7236;data scientist;Atlanta;GA;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;
Research Scientist I;Georgia State University;658;data scientist;Atlanta;GA;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;;;;;
Data Scientist - Senior Consultant - Orlando; Florida;Capgemini;5720;data scientist;Atlanta;GA;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;TRUE;;;;
Lead R & D Engineer/Scientist;Honeywell;6121;data scientist;Atlanta;GA;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;TRUE;;;;;
Quantitative Finance Analyst;Bank of America;21954;data analyst;Atlanta;GA;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;
Advertiser Research Analyst;Cox Media Group;221;data analyst;Atlanta;GA;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;;;;
Manager; Data Scientist (ML/NLP) -- Financial Services;KPMG;4494;data scientist;Atlanta;GA;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;TRUE;FALSE;TRUE;;;;
Data Science Instructor;General Assembly;144;data scientist;Atlanta;GA;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;;;;;
Research Informatics Analyst;Emory University;550;data analyst;Atlanta;GA;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;;;;
Enterprise Data Analyst & Data Engineer;Novelis;189;data engineer;Atlanta;GA;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;;;;;
Supply Chain Data Science Consultant;Accenture;14200;data scientist;Atlanta;GA;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;TRUE;FALSE;;;;;
Public Health Communications Specialist;2M Research Services;2;other role;Atlanta;GA;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;;;;
Communications Specialist;Loyal;10;other role;Atlanta;GA;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;;;;;
2018 - Health Research Analyst 2 - New;Northrop Grumman;4061;data analyst;Atlanta;GA;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;;;;;
Business Intelligence Engineer;Amazon.com;25907;other role;Atlanta;GA;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;;;;;
Staff Research Scientist VII: Informational Interpretation Researcher;The Hexagon Lavish;0;data scientist;Atlanta;GA;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;;;;;
Scientist;Emory University;550;data scientist;Atlanta;GA;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;;;;;
Entry Level Geologist;Wood;899;data scientist;Atlanta;GA;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;
Regulatory Labeling;UCB S.A.;206;data scientist;Atlanta;GA;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;;;;
Quantitative Analyst;Voya Financial;168;data analyst;Atlanta;GA;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;
Director; Data Scientist -- Financial Services/Insurance;KPMG;4494;data scientist;Atlanta;GA;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;;;;
Supervisory Epidemiologist;Centers for Disease Control and Prevention;350;other role;Atlanta;GA;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;;;;
Quantitative Finance Analyst/C++ Developer;Bank of America;21954;data analyst;Atlanta;GA;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;;;;;
Jr Microbiologist - CDC;G2S Corporation;0;other role;Atlanta;GA;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;
